,username,funct,pronoun,ppron,i,we,you,3rdPersonSingular,they,ipron,verb,past,present,future,adverb,prepositions,conjunction,negation,quantifier,number,swear,social,family,friend,humans,affect,posemo,negemo,anxiety,anger,sad,cogmech,insight,cause,discrepancy,tentative,certain,inhibition,include,exclusive,percept,see,hear,feel,bio,body,health,sexual,ingestion,relative,motion,space,time,politic,work,achieve,leisure,home,money,religion,death,assent,nonfluencies,words > 6 letter,Extraversion,Aggreeableness,Concientiousness,Opennes,Neuroticism
0,findikfistikoo,0.019,0.019,0.01,0.01,0.01,0.0,0.0,0.0,0.019,0.067,0.01,0.01,0.0,0.01,0.019,0.038,0.038,0.01,0.01,0.01,0.048,0.01,0.01,0.01,0.029,0.01,0.019,0.019,0.01,0.01,0.106,0.048,0.01,0.01,0.01,0.01,0.01,0.038,0.038,0.01,0.01,0.0,0.01,0.019,0.01,0.01,0.0,0.01,0.115,0.029,0.029,0.058,0.058,0.019,0.019,0.048,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.3205694178015936,-0.8764493457433198,-1.0454507890929283,0.8135650877527676,-0.0314421289952761
1,ismailyankayis,0.024,0.021,0.009,0.005,0.005,0.004,0.004,0.0,0.015,0.085,0.007,0.005,0.005,0.009,0.024,0.021,0.008,0.004,0.022,0.022000000000000002,0.062,0.002,0.002,0.023,0.045,0.031,0.011,0.001,0.003,0.005,0.136,0.07,0.02,0.015,0.01,0.007,0.003,0.011,0.006,0.012,0.004,0.005,0.003,0.023,0.009,0.011,0.011000000000000001,0.004,0.082,0.017,0.027,0.037,0.037000000000000005,0.004,0.016,0.007,0.0,0.004,0.0,0.001,0.0,0.003,0.0,-1.7214565624913634,-0.3694450156944936,-0.3694450156944936,0.13755931435433266,-0.5384464590441023
2,aslhnmrcn,0.041,0.045,0.023,0.02,0.0,0.003,0.0,0.0,0.036000000000000004,0.078,0.019,0.004,0.0,0.005,0.013,0.018000000000000002,0.005,0.008,0.022,0.002,0.037000000000000005,0.004,0.001,0.006,0.04,0.028,0.011,0.005,0.003,0.006,0.127,0.066,0.017,0.01,0.01,0.014,0.003,0.014,0.002,0.021,0.006,0.006,0.006999999999999999,0.028,0.006,0.006,0.01,0.006,0.065,0.018000000000000002,0.018000000000000002,0.024,0.0,0.006,0.006,0.017,0.002,0.006,0.001,0.0,0.001,0.001,0.0,0.13755931435433266,-0.8764493457433198,-0.7074479023937109,0.6445636444031588,-1.8904580058409721
3,oylebibosluk,0.046,0.03,0.021,0.013999999999999999,0.0,0.006999999999999999,0.0,0.0,0.019,0.087,0.019,0.006,0.002,0.012,0.012,0.028999999999999998,0.003,0.012,0.025,0.001,0.039,0.005,0.001,0.006999999999999999,0.034,0.025,0.008,0.002,0.002,0.005,0.131,0.069,0.006,0.008,0.016,0.01,0.006,0.016,0.013999999999999999,0.013999999999999999,0.003,0.003,0.006,0.027000000000000003,0.01,0.006,0.006,0.004,0.071,0.012,0.023,0.027999999999999997,0.0,0.005,0.006,0.013000000000000001,0.003,0.003,0.001,0.002,0.001,0.003,0.0,1.6585723045008112,0.30656075770394137,-0.7074479023937109,2.334578077899246,-0.3694450156944936
4,zuhre_piraye,0.058,0.053,0.043,0.024,0.0,0.019,0.0,0.0,0.019,0.08199999999999999,0.034,0.014,0.0,0.0,0.005,0.014,0.0,0.005,0.053,0.0,0.048,0.005,0.0,0.005,0.029,0.019,0.01,0.0,0.01,0.0,0.087,0.048,0.01,0.005,0.0,0.019,0.0,0.01,0.0,0.019,0.014,0.0,0.005,0.014,0.005,0.005,0.005,0.005,0.077,0.014,0.024,0.038,0.0,0.0,0.019,0.01,0.005,0.0,0.005,0.0,0.01,0.0,0.0,-0.0314421289952761,-1.2144522324425373,-0.7074479023937109,0.30656075770394137,-1.2144522324425373
5,handirlimerve,0.05,0.043,0.023,0.018000000000000002,0.0,0.006,0.0,0.0,0.03,0.08,0.013999999999999999,0.011000000000000001,0.0,0.006,0.013000000000000001,0.025,0.01,0.011000000000000001,0.016,0.0,0.045,0.002,0.001,0.01,0.040999999999999995,0.027999999999999997,0.013000000000000001,0.001,0.005,0.003,0.122,0.057999999999999996,0.017,0.005,0.008,0.012,0.001,0.011000000000000001,0.013999999999999999,0.016,0.009000000000000001,0.003,0.004,0.021,0.011000000000000001,0.006999999999999999,0.002,0.003,0.063,0.016,0.012,0.036000000000000004,0.0,0.009000000000000001,0.012,0.01,0.004,0.004,0.002,0.0,0.005,0.001,0.0,1.6585723045008112,-2.566463779239407,-0.3694450156944936,1.996575191200029,0.6445636444031588
6,GulersuSygl,0.039,0.035,0.017,0.012,0.0,0.005,0.0,0.0,0.03,0.069,0.019,0.005,0.0,0.012,0.016,0.018000000000000002,0.005,0.012,0.026,0.0,0.041,0.004,0.0,0.009000000000000001,0.028,0.019,0.009000000000000001,0.0,0.001,0.002,0.111,0.045,0.015,0.012,0.01,0.011,0.004,0.006,0.006,0.019,0.009000000000000001,0.005,0.004,0.023,0.012,0.005,0.001,0.005,0.107,0.033,0.021,0.052000000000000005,0.0,0.009000000000000001,0.015,0.017,0.002,0.0,0.0,0.0,0.005,0.002,0.0,0.8135650877527676,-1.3834536757921458,-0.3694450156944936,0.4755622010535501,-0.8764493457433198
7,eeceuuslu,0.037000000000000005,0.04,0.017,0.011000000000000001,0.0,0.006,0.0,0.0,0.034,0.068,0.022000000000000002,0.006999999999999999,0.001,0.004,0.01,0.02,0.005,0.006999999999999999,0.026000000000000002,0.002,0.05,0.004,0.002,0.011000000000000001,0.046,0.032,0.013999999999999999,0.004,0.006,0.006,0.115,0.06,0.013999999999999999,0.006999999999999999,0.006999999999999999,0.01,0.006999999999999999,0.011000000000000001,0.001,0.012,0.003,0.002,0.004,0.024,0.01,0.002,0.013000000000000001,0.004,0.071,0.015,0.015,0.04,0.0,0.015,0.018000000000000002,0.011000000000000001,0.005,0.006999999999999999,0.001,0.0,0.0,0.004,0.0,1.6585723045008112,-2.397462335889798,-1.2144522324425373,-0.3694450156944936,-3.4114709959874507
8,yilmaz_armagan,0.024,0.024,0.012,0.003,0.0,0.009000000000000001,0.0,0.0,0.03,0.08800000000000001,0.009000000000000001,0.009000000000000001,0.0,0.009000000000000001,0.015,0.027000000000000003,0.0,0.003,0.006,0.018000000000000002,0.064,0.018000000000000002,0.0,0.006,0.055,0.036000000000000004,0.015,0.0,0.009000000000000001,0.006,0.109,0.052000000000000005,0.018000000000000002,0.003,0.003,0.009000000000000001,0.003,0.018000000000000002,0.006,0.006,0.006,0.0,0.0,0.024,0.012,0.009000000000000001,0.012,0.0,0.067,0.024,0.015,0.03,0.0,0.0,0.015,0.021,0.0,0.009000000000000001,0.006,0.003,0.012,0.006,0.0,-1.0454507890929283,-1.8904580058409721,-2.0594594491905807,0.30656075770394137,-0.8764493457433198
9,GnlMercan9,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.045,0.0,0.045,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.045,0.045,0.0,0.0,0.0,0.0,0.045,0.0,0.045,0.0,0.0,0.045,0.045,0.045,0.0,0.0,0.0,0.091,0.045,0.0,0.045,0.0,0.0,0.045,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.13755931435433266,0.9825665311023762,-0.7074479023937109,0.8135650877527676,-1.0454507890929283
10,TutkuGokdemir,0.034,0.038,0.02,0.011,0.0,0.01,0.0,0.0,0.027000000000000003,0.052000000000000005,0.006999999999999999,0.008,0.0,0.01,0.015,0.023,0.004,0.01,0.014,0.003,0.056,0.003,0.004,0.008,0.053,0.037000000000000005,0.016,0.001,0.012,0.003,0.095,0.035,0.014,0.005,0.008,0.01,0.001,0.005,0.006999999999999999,0.005,0.001,0.001,0.003,0.019,0.005,0.005,0.004,0.004,0.103,0.035,0.023,0.044,0.0,0.018000000000000002,0.023,0.022,0.003,0.011,0.003,0.0,0.003,0.005,0.0,1.3205694178015936,-0.20044357234488488,-0.3694450156944936,0.30656075770394137,-1.5524551191417546
11,Denizzkolayy,0.055999999999999994,0.047,0.026000000000000002,0.022000000000000002,0.0,0.004,0.0,0.0,0.027999999999999997,0.087,0.009000000000000001,0.018000000000000002,0.0,0.012,0.012,0.022000000000000002,0.009000000000000001,0.009000000000000001,0.016,0.0,0.031,0.003,0.0,0.004,0.027999999999999997,0.018000000000000002,0.01,0.004,0.003,0.006999999999999999,0.10300000000000001,0.035,0.027999999999999997,0.004,0.004,0.006,0.003,0.009000000000000001,0.004,0.01,0.0,0.006,0.004,0.021,0.01,0.004,0.001,0.004,0.094,0.04,0.018000000000000002,0.034,0.0,0.018000000000000002,0.023,0.013000000000000001,0.0,0.006,0.006,0.0,0.003,0.003,0.0,-0.3694450156944936,-2.2284608925401894,-0.7074479023937109,0.13755931435433266,-2.566463779239407
12,senaturkann,0.037000000000000005,0.033,0.018000000000000002,0.011,0.0,0.006999999999999999,0.0,0.0,0.03,0.077,0.019,0.006,0.0,0.008,0.015,0.011,0.006,0.02,0.018000000000000002,0.001,0.05,0.003,0.003,0.008,0.038,0.025,0.013,0.003,0.002,0.004,0.121,0.053,0.02,0.006,0.003,0.018000000000000002,0.006,0.015,0.003,0.009000000000000001,0.003,0.003,0.003,0.027000000000000003,0.006999999999999999,0.009000000000000001,0.0,0.012,0.067,0.02,0.019,0.03,0.0,0.02,0.032,0.015,0.004,0.009000000000000001,0.004,0.0,0.002,0.003,0.0,-0.20044357234488488,-0.20044357234488488,-0.3694450156944936,0.4755622010535501,-0.5384464590441023
13,mercanssa,0.06,0.059000000000000004,0.037000000000000005,0.024,0.0,0.012,0.0,0.0,0.038,0.075,0.018000000000000002,0.017,0.0,0.004,0.01,0.01,0.004,0.015,0.018000000000000002,0.001,0.049,0.002,0.0,0.006999999999999999,0.021,0.013999999999999999,0.006999999999999999,0.001,0.003,0.003,0.129,0.055,0.018000000000000002,0.004,0.008,0.02,0.009000000000000001,0.004,0.002,0.01,0.003,0.003,0.002,0.013000000000000001,0.003,0.008,0.0,0.002,0.07,0.019,0.023,0.027999999999999997,0.0,0.01,0.015,0.013999999999999999,0.003,0.006,0.001,0.0,0.001,0.006,0.0,-0.5384464590441023,-1.7214565624913634,-0.8764493457433198,0.13755931435433266,0.13755931435433266
14,onur_caglayan,0.029,0.029,0.017,0.006999999999999999,0.0,0.01,0.0,0.0,0.017,0.067,0.014,0.01,0.0,0.005,0.002,0.014,0.002,0.012,0.021,0.002,0.031,0.002,0.002,0.005,0.019,0.006999999999999999,0.012,0.006999999999999999,0.002,0.01,0.091,0.036000000000000004,0.021,0.006999999999999999,0.005,0.0,0.012,0.01,0.006999999999999999,0.012,0.006999999999999999,0.005,0.0,0.024,0.005,0.005,0.005,0.014,0.141,0.095,0.017,0.026,0.0,0.006999999999999999,0.026,0.048,0.006999999999999999,0.0,0.006999999999999999,0.0,0.0,0.005,0.0,0.30656075770394137,-1.7214565624913634,-0.5384464590441023,-0.7074479023937109,-1.3834536757921458
15,berayakdeniiz,0.047,0.035,0.022000000000000002,0.013999999999999999,0.0,0.008,0.0,0.0,0.03,0.07200000000000001,0.013999999999999999,0.009000000000000001,0.001,0.006,0.016,0.025,0.006999999999999999,0.013000000000000001,0.028999999999999998,0.003,0.035,0.0,0.001,0.013000000000000001,0.04,0.033,0.006999999999999999,0.002,0.002,0.001,0.12,0.064,0.02,0.009000000000000001,0.006999999999999999,0.012,0.003,0.018000000000000002,0.004,0.006,0.001,0.002,0.002,0.027999999999999997,0.011000000000000001,0.006999999999999999,0.004,0.006,0.068,0.017,0.016,0.032,0.0,0.013000000000000001,0.013999999999999999,0.011000000000000001,0.002,0.002,0.004,0.001,0.004,0.003,0.0,1.3205694178015936,-0.7074479023937109,-0.5384464590441023,0.9825665311023762,-0.20044357234488488
16,SahbudakEmre,0.05,0.044,0.025,0.013,0.0,0.012,0.0,0.0,0.032,0.086,0.011,0.017,0.0,0.011,0.01,0.019,0.008,0.006,0.021,0.003,0.055,0.003,0.004,0.016,0.04,0.033,0.006999999999999999,0.003,0.003,0.002,0.111,0.05,0.015,0.005,0.009000000000000001,0.006,0.005,0.01,0.009000000000000001,0.008,0.002,0.001,0.004,0.021,0.006,0.003,0.012,0.003,0.075,0.02,0.016,0.035,0.0,0.01,0.013,0.006999999999999999,0.001,0.005,0.001,0.002,0.002,0.003,0.0,0.8135650877527676,0.4755622010535501,-0.7074479023937109,-0.3694450156944936,0.13755931435433266
17,haticeozkn,0.034,0.027000000000000003,0.017,0.009000000000000001,0.0,0.008,0.0,0.0,0.022000000000000002,0.079,0.013999999999999999,0.01,0.0,0.017,0.02,0.031,0.006,0.006999999999999999,0.016,0.002,0.048,0.002,0.004,0.013999999999999999,0.045,0.037000000000000005,0.006999999999999999,0.001,0.004,0.002,0.12,0.061,0.016,0.009000000000000001,0.006999999999999999,0.006,0.002,0.011000000000000001,0.01,0.016,0.008,0.002,0.004,0.02,0.006,0.005,0.009000000000000001,0.005,0.07400000000000001,0.016,0.027000000000000003,0.027999999999999997,0.0,0.011000000000000001,0.013000000000000001,0.013000000000000001,0.001,0.004,0.004,0.0,0.005,0.002,0.0,-0.7074479023937109,-0.7074479023937109,-1.0454507890929283,-1.2144522324425373,-2.735465222589016
18,ramazan_yaylali,0.025,0.029,0.008,0.004,0.0,0.004,0.0,0.0,0.025,0.083,0.033,0.013,0.0,0.017,0.008,0.021,0.008,0.017,0.013,0.004,0.05,0.0,0.0,0.017,0.037000000000000005,0.021,0.013,0.0,0.013,0.0,0.125,0.054000000000000006,0.013,0.025,0.004,0.0,0.004,0.0,0.008,0.017,0.013,0.0,0.004,0.037000000000000005,0.021,0.013,0.004,0.004,0.079,0.013,0.021,0.05,0.0,0.008,0.013,0.0,0.0,0.0,0.004,0.0,0.0,0.004,0.0,-2.2284608925401894,-2.0594594491905807,-1.7214565624913634,-0.8764493457433198,-1.3834536757921458
