index,username,pronoun,ppron,i,we,you,3rdPersonSingular,they,ipron,verb,past,present,future,adverb,prepositions,conjunction,negation,quantifier,number,swear,social,family,friend,humans,affect,posemo,negemo,anxiety,anger,sad,cogmech,insight,cause,discrepancy,tentative,certain,inhibition,include,exclusive,percept,see,hear,feel,bio,body,health,sexual,ingestion,relative,motion,space,time,politic,work,achieve,leisure,home,money,religion,death,assent,wordsgtsix,Extraversion,Aggreeableness,Concientiousness,Opennes,Neuroticism
23,erenves,0.043,0.023,0.006999999999999999,0.005,0.005,0.006999999999999999,0.0,0.028999999999999998,0.083,0.0,0.0,0.0,0.013000000000000001,0.012,0.027999999999999997,0.003,0.013999999999999999,0.004,0.006999999999999999,0.046,0.006999999999999999,0.002,0.008,0.035,0.021,0.013000000000000001,0.001,0.005,0.002,0.096,0.035,0.013999999999999999,0.005,0.006999999999999999,0.008,0.01,0.01,0.008,0.019,0.009000000000000001,0.004,0.006999999999999999,0.027999999999999997,0.011000000000000001,0.005,0.005,0.012,0.055999999999999994,0.019,0.013999999999999999,0.026000000000000002,0.002,0.017,0.012,0.02,0.0,0.006999999999999999,0.004,0.002,0.002,0.10300000000000001,30,16,23,25,28
24,_haticenur_,0.027000000000000003,0.006999999999999999,0.0,0.0,0.006,0.001,0.0,0.02,0.08900000000000001,0.0,0.0,0.0,0.01,0.009000000000000001,0.01,0.001,0.008,0.005,0.0,0.087,0.0,0.0,0.033,0.018000000000000002,0.009000000000000001,0.009000000000000001,0.006,0.002,0.001,0.07200000000000001,0.047,0.003,0.001,0.002,0.006999999999999999,0.003,0.006,0.008,0.052000000000000005,0.047,0.002,0.001,0.012,0.006999999999999999,0.001,0.001,0.006,0.048,0.029,0.006999999999999999,0.014,0.002,0.037000000000000005,0.01,0.052000000000000005,0.0,0.003,0.006,0.001,0.001,0.152,31,22,16,30,31
25,metehankonbul,0.025,0.008,0.001,0.0,0.003,0.003,0.0,0.022000000000000002,0.076,0.0,0.0,0.0,0.021,0.024,0.027000000000000003,0.009000000000000001,0.013999999999999999,0.013000000000000001,0.0,0.032,0.002,0.0,0.003,0.043,0.025,0.017,0.0,0.003,0.005,0.092,0.036000000000000004,0.01,0.005,0.008,0.009000000000000001,0.011000000000000001,0.008,0.012,0.023,0.013000000000000001,0.004,0.006,0.017,0.009000000000000001,0.002,0.0,0.004,0.065,0.011000000000000001,0.022000000000000002,0.032,0.0,0.02,0.021,0.04,0.001,0.004,0.005,0.0,0.004,0.127,22,26,26,33,26
26,omermani,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.045,0.0,0.058,0.013,0.013,0.0,0.049,0.045,0.004,0.0,0.0,0.0,0.031,0.018000000000000002,0.0,0.004,0.009000000000000001,0.004,0.0,0.004,0.0,0.018000000000000002,0.013,0.004,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.0,0.022,0.112,0.071,0.013,0.049,0.004,0.054000000000000006,0.04,0.076,0.004,0.0,0.0,0.004,0.0,0.138,23,11,19,13,29
27,anilkaratopak,0.028999999999999998,0.011000000000000001,0.004,0.003,0.004,0.001,0.0,0.019,0.07,0.0,0.0,0.0,0.02,0.023,0.021,0.006,0.016,0.013999999999999999,0.002,0.04,0.001,0.001,0.003,0.048,0.033,0.015,0.002,0.006,0.006,0.066,0.02,0.009000000000000001,0.001,0.006999999999999999,0.008,0.003,0.009000000000000001,0.008,0.022000000000000002,0.011000000000000001,0.009000000000000001,0.005,0.013999999999999999,0.005,0.001,0.002,0.005,0.073,0.02,0.02,0.037000000000000005,0.004,0.027000000000000003,0.026000000000000002,0.057,0.002,0.002,0.006999999999999999,0.003,0.002,0.12,19,25,22,26,18
28,karacaoglanb,0.031,0.016,0.008,0.001,0.003,0.004,0.0,0.021,0.08,0.0,0.0,0.0,0.021,0.022,0.022,0.005,0.017,0.009000000000000001,0.004,0.032,0.003,0.002,0.006999999999999999,0.052000000000000005,0.033,0.019,0.001,0.009000000000000001,0.003,0.093,0.039,0.013,0.009000000000000001,0.013,0.006999999999999999,0.009000000000000001,0.008,0.009000000000000001,0.013,0.005,0.003,0.003,0.012,0.005,0.003,0.003,0.003,0.065,0.017,0.016,0.031,0.002,0.022,0.025,0.01,0.002,0.01,0.001,0.001,0.002,0.121,23,19,21,26,22
29,benan_deniz,0.023,0.015,0.002,0.0,0.006,0.006,0.0,0.017,0.055,0.0,0.0,0.0,0.011000000000000001,0.023,0.027999999999999997,0.013000000000000001,0.006,0.019,0.0,0.043,0.002,0.002,0.004,0.055,0.023,0.032,0.006,0.017,0.006,0.1,0.036000000000000004,0.011000000000000001,0.011000000000000001,0.009000000000000001,0.013000000000000001,0.002,0.015,0.019,0.013000000000000001,0.006,0.0,0.006,0.006,0.004,0.002,0.0,0.0,0.07200000000000001,0.011000000000000001,0.026000000000000002,0.038,0.019,0.017,0.013000000000000001,0.004,0.002,0.004,0.002,0.0,0.009000000000000001,0.111,18,17,27,23,36
30,DurgunMrt,0.028,0.012,0.002,0.001,0.004,0.003,0.0,0.021,0.077,0.0,0.0,0.0,0.017,0.028,0.025,0.001,0.021,0.017,0.002,0.04,0.003,0.002,0.011,0.033,0.024,0.009000000000000001,0.0,0.003,0.002,0.087,0.031,0.02,0.003,0.01,0.008,0.002,0.011,0.006,0.018000000000000002,0.012,0.001,0.005,0.017,0.003,0.004,0.001,0.005,0.071,0.011,0.032,0.029,0.01,0.023,0.027000000000000003,0.02,0.003,0.009000000000000001,0.003,0.001,0.001,0.124,14,17,20,22,16
31,zeyunalz,0.028999999999999998,0.017,0.008,0.001,0.004,0.004,0.0,0.016,0.08,0.0,0.0,0.0,0.013999999999999999,0.023,0.019,0.004,0.013000000000000001,0.012,0.002,0.040999999999999995,0.005,0.004,0.011000000000000001,0.036000000000000004,0.015,0.02,0.004,0.009000000000000001,0.006,0.09300000000000001,0.037000000000000005,0.017,0.008,0.008,0.006999999999999999,0.006,0.008,0.01,0.022000000000000002,0.015,0.003,0.004,0.02,0.009000000000000001,0.004,0.005,0.005,0.066,0.016,0.021,0.032,0.001,0.018000000000000002,0.023,0.015,0.003,0.006999999999999999,0.006,0.001,0.003,0.11199999999999999,33,7,23,26,26
32,oguzataaa,0.041,0.019,0.01,0.002,0.004,0.003,0.0,0.027000000000000003,0.069,0.0,0.0,0.0,0.018000000000000002,0.028,0.028,0.006,0.02,0.013,0.006999999999999999,0.044,0.004,0.004,0.013,0.034,0.02,0.013,0.001,0.006,0.005,0.084,0.029,0.015,0.006999999999999999,0.008,0.006999999999999999,0.002,0.01,0.012,0.015,0.006,0.006999999999999999,0.003,0.021,0.006999999999999999,0.006,0.004,0.008,0.071,0.014,0.022,0.038,0.001,0.012,0.014,0.021,0.006,0.005,0.001,0.001,0.003,0.104,17,17,10,32,17
33,alparslankonbul,0.026000000000000002,0.008,0.0,0.003,0.003,0.003,0.0,0.022000000000000002,0.071,0.0,0.0,0.0,0.012,0.023,0.025,0.003,0.008,0.011000000000000001,0.0,0.049,0.001,0.0,0.009000000000000001,0.048,0.032,0.013999999999999999,0.001,0.006,0.002,0.084,0.033,0.012,0.004,0.008,0.009000000000000001,0.01,0.011000000000000001,0.01,0.013000000000000001,0.006,0.002,0.004,0.013999999999999999,0.008,0.001,0.002,0.004,0.063,0.011000000000000001,0.028999999999999998,0.027000000000000003,0.0,0.021,0.031,0.053,0.003,0.006,0.004,0.001,0.003,0.136,25,28,24,33,28
34,isacankarakas1,0.029,0.015,0.003,0.001,0.003,0.006,0.001,0.024,0.075,0.0,0.0,0.0,0.014,0.022,0.027000000000000003,0.002,0.015,0.011,0.001,0.039,0.002,0.001,0.009000000000000001,0.043,0.024,0.02,0.003,0.008,0.006999999999999999,0.08,0.033,0.011,0.005,0.008,0.01,0.003,0.015,0.006999999999999999,0.017,0.009000000000000001,0.002,0.006999999999999999,0.02,0.01,0.01,0.003,0.006,0.064,0.017,0.021,0.029,0.003,0.019,0.016,0.02,0.001,0.01,0.006,0.004,0.002,0.126,21,17,19,30,32
35,Mlskly,0.022000000000000002,0.009000000000000001,0.003,0.002,0.002,0.002,0.0,0.017,0.08,0.0,0.0,0.0,0.018000000000000002,0.025,0.019,0.006,0.015,0.01,0.001,0.038,0.002,0.001,0.012,0.042,0.024,0.018000000000000002,0.001,0.006999999999999999,0.004,0.099,0.043,0.013000000000000001,0.006,0.009000000000000001,0.009000000000000001,0.006999999999999999,0.013999999999999999,0.005,0.015,0.006,0.004,0.005,0.021,0.009000000000000001,0.003,0.002,0.008,0.078,0.015,0.026000000000000002,0.042,0.005,0.013000000000000001,0.016,0.015,0.002,0.004,0.004,0.005,0.003,0.115,23,18,20,19,13
36,tubakeskinnnn,0.027000000000000003,0.013,0.006,0.002,0.003,0.003,0.0,0.017,0.075,0.0,0.0,0.0,0.016,0.02,0.02,0.001,0.021,0.008,0.003,0.045,0.003,0.002,0.011,0.043,0.03,0.013,0.003,0.005,0.003,0.092,0.042,0.015,0.004,0.009000000000000001,0.009000000000000001,0.006999999999999999,0.009000000000000001,0.005,0.013,0.006,0.001,0.006999999999999999,0.013,0.003,0.004,0.001,0.004,0.073,0.011,0.024,0.034,0.01,0.027000000000000003,0.027000000000000003,0.016,0.006,0.01,0.002,0.001,0.005,0.116,16,24,18,26,20
37,BatuuYldrmm,0.015,0.01,0.004,0.002,0.002,0.001,0.0,0.008,0.081,0.0,0.0,0.0,0.02,0.025,0.021,0.005,0.018000000000000002,0.01,0.004,0.063,0.006999999999999999,0.002,0.02,0.038,0.023,0.015,0.001,0.008,0.001,0.083,0.032,0.013000000000000001,0.003,0.009000000000000001,0.006,0.001,0.012,0.005,0.013999999999999999,0.009000000000000001,0.002,0.004,0.019,0.004,0.003,0.006999999999999999,0.006,0.079,0.019,0.021,0.046,0.001,0.023,0.021,0.021,0.001,0.006,0.004,0.002,0.004,0.113,26,11,17,29,29
38,gokcetanis,0.038,0.026,0.012,0.001,0.006,0.006,0.0,0.02,0.08,0.0,0.0,0.0,0.017,0.021,0.025,0.003,0.017,0.01,0.001,0.042,0.001,0.008,0.006999999999999999,0.039,0.022,0.017,0.002,0.004,0.004,0.095,0.039,0.008,0.01,0.015,0.011,0.003,0.01,0.003,0.023,0.013,0.003,0.009000000000000001,0.023,0.01,0.003,0.004,0.005,0.063,0.014,0.018000000000000002,0.03,0.0,0.011,0.01,0.012,0.003,0.003,0.003,0.0,0.003,0.113,20,24,27,34,18
39,burakkarabekir5,0.018000000000000002,0.004,0.0,0.001,0.001,0.001,0.001,0.017,0.086,0.0,0.0,0.0,0.009000000000000001,0.021,0.025,0.001,0.018000000000000002,0.013000000000000001,0.0,0.031,0.003,0.0,0.008,0.032,0.018000000000000002,0.013999999999999999,0.003,0.004,0.004,0.094,0.043,0.015,0.006,0.008,0.006,0.006,0.017,0.01,0.012,0.006999999999999999,0.002,0.004,0.013999999999999999,0.008,0.002,0.003,0.003,0.08199999999999999,0.016,0.034,0.035,0.002,0.036000000000000004,0.017,0.016,0.006999999999999999,0.019,0.006999999999999999,0.004,0.004,0.13,22,19,23,25,11
40,nursondo,0.048,0.028,0.017,0.002,0.005,0.003,0.0,0.025,0.075,0.0,0.0,0.0,0.017,0.022,0.026,0.003,0.013,0.013,0.003,0.037000000000000005,0.004,0.006999999999999999,0.011,0.051,0.032,0.018000000000000002,0.006,0.006,0.009000000000000001,0.083,0.036000000000000004,0.01,0.006,0.012,0.006,0.003,0.009000000000000001,0.011,0.014,0.006999999999999999,0.002,0.006,0.019,0.009000000000000001,0.001,0.012,0.006,0.059,0.01,0.013,0.035,0.002,0.013,0.01,0.012,0.003,0.003,0.003,0.002,0.006999999999999999,0.093,29,9,15,25,13
41,SehaPerimcek,0.039,0.026000000000000002,0.01,0.001,0.011000000000000001,0.004,0.001,0.024,0.079,0.0,0.0,0.0,0.019,0.024,0.028999999999999998,0.008,0.022000000000000002,0.006999999999999999,0.002,0.032,0.001,0.0,0.005,0.043,0.028999999999999998,0.013999999999999999,0.002,0.004,0.005,0.124,0.048,0.01,0.012,0.026000000000000002,0.011000000000000001,0.005,0.009000000000000001,0.012,0.013999999999999999,0.005,0.003,0.005,0.024,0.008,0.006999999999999999,0.006999999999999999,0.002,0.055,0.008,0.016,0.028999999999999998,0.0,0.005,0.013000000000000001,0.006999999999999999,0.001,0.002,0.001,0.003,0.004,0.083,29,25,23,28,18
42,ekinalanyuz,0.035,0.023,0.01,0.005,0.004,0.004,0.001,0.017,0.084,0.0,0.0,0.0,0.017,0.023,0.022,0.004,0.013,0.011,0.001,0.036000000000000004,0.006,0.002,0.005,0.032,0.023,0.008,0.0,0.004,0.002,0.091,0.029,0.016,0.006,0.008,0.008,0.006999999999999999,0.011,0.005,0.023,0.014,0.005,0.005,0.015,0.006,0.003,0.005,0.006,0.063,0.016,0.016,0.032,0.002,0.035,0.026,0.017,0.002,0.008,0.005,0.003,0.005,0.117,20,16,24,24,10
43,cmcylns,0.02,0.01,0.003,0.003,0.001,0.004,0.0,0.019,0.067,0.0,0.0,0.0,0.019,0.025,0.021,0.005,0.023,0.021,0.002,0.039,0.001,0.0,0.004,0.040999999999999995,0.025,0.016,0.001,0.003,0.008,0.08800000000000001,0.04,0.008,0.006,0.011000000000000001,0.006999999999999999,0.005,0.015,0.006,0.012,0.006,0.002,0.005,0.027999999999999997,0.013000000000000001,0.01,0.003,0.004,0.079,0.013999999999999999,0.018000000000000002,0.048,0.001,0.015,0.019,0.025,0.003,0.009000000000000001,0.005,0.002,0.003,0.111,18,12,16,39,21
44,gizeemumcu,0.033,0.016,0.005,0.004,0.003,0.005,0.0,0.022,0.07200000000000001,0.0,0.0,0.0,0.017,0.014,0.021,0.002,0.018000000000000002,0.009000000000000001,0.001,0.045,0.002,0.001,0.019,0.054000000000000006,0.02,0.034,0.006999999999999999,0.017,0.006,0.079,0.038,0.006999999999999999,0.003,0.01,0.005,0.005,0.012,0.002,0.014,0.006,0.003,0.006999999999999999,0.019,0.005,0.003,0.009000000000000001,0.005,0.067,0.013,0.026,0.03,0.005,0.015,0.012,0.018000000000000002,0.002,0.004,0.002,0.004,0.006,0.118,19,26,26,23,13
45,furkanoguz01,0.05,0.02,0.01,0.0,0.005,0.005,0.0,0.035,0.06,0.0,0.0,0.0,0.005,0.025,0.01,0.02,0.015,0.01,0.0,0.085,0.005,0.0,0.04,0.04,0.025,0.015,0.005,0.005,0.005,0.085,0.02,0.01,0.015,0.025,0.005,0.0,0.01,0.0,0.005,0.005,0.0,0.0,0.03,0.01,0.005,0.0,0.005,0.075,0.02,0.015,0.045,0.0,0.015,0.0,0.005,0.0,0.0,0.015,0.0,0.01,0.075,28,20,22,23,26
46,savaterzade,0.028,0.011,0.005,0.001,0.004,0.001,0.0,0.02,0.07400000000000001,0.0,0.0,0.0,0.011,0.025,0.023,0.006,0.022,0.011,0.002,0.049,0.008,0.004,0.011,0.045,0.034,0.011,0.003,0.003,0.002,0.097,0.032,0.016,0.005,0.011,0.011,0.004,0.011,0.01,0.014,0.006999999999999999,0.002,0.005,0.011,0.003,0.005,0.002,0.003,0.06,0.015,0.017,0.03,0.0,0.024,0.032,0.026,0.001,0.003,0.001,0.001,0.003,0.121,22,12,21,28,9
47,evrimmozkan,0.028999999999999998,0.017,0.009000000000000001,0.003,0.004,0.002,0.0,0.018000000000000002,0.08,0.0,0.0,0.0,0.018000000000000002,0.018000000000000002,0.019,0.006,0.018000000000000002,0.009000000000000001,0.004,0.046,0.004,0.006,0.011000000000000001,0.037000000000000005,0.024,0.013000000000000001,0.002,0.006,0.004,0.099,0.031,0.013999999999999999,0.009000000000000001,0.019,0.004,0.002,0.011000000000000001,0.006999999999999999,0.019,0.009000000000000001,0.003,0.008,0.027999999999999997,0.011000000000000001,0.005,0.009000000000000001,0.009000000000000001,0.065,0.019,0.018000000000000002,0.026000000000000002,0.001,0.013999999999999999,0.022000000000000002,0.011000000000000001,0.004,0.005,0.001,0.0,0.003,0.109,12,14,24,28,10
